Feature,Gain,Cover,Frequency,position
roll5_offense_pct,0.03973953334474311,0.03795150214573703,0.03331314354936402,RB
roll5_carries,0.02662066387984081,0.01665136863468853,0.016959418534221685,RB
roll3_fppg,0.0195044473610261,0.03533724246395566,0.027256208358570563,RB
prior_game_fppg,0.01932647029183196,0.05910555423194457,0.047244094488188976,RB
roll3_carries,0.008359311643675673,0.0025088529727821263,0.004239854633555421,RB
roll3_offense_snaps,0.006971803834281791,0.037926048515904205,0.029073288915808602,RB
favorite_rush_interaction,0.006603684759141602,0.05459371434960376,0.034524530587522716,RB
roll3_team_carries,0.0038610372539081683,0.03092887496117838,0.025439127801332527,RB
matchup_role_interaction,0.003610795437084768,0.035972679153889256,0.024227740763173834,RB
roll3_rush_td_rate,0.0032713416216674897,0.032527734723579727,0.025439127801332527,RB
def_rush_success_allowed_roll4,0.0029233839392559385,0.02252258896823468,0.02483343428225318,RB
implied_team_total,0.0026651761388190144,0.003951587854263975,0.01756511205330103,RB
expected_team_pass_rate,0.002608965709572077,0.011647932447309819,0.019382192610539067,RB
season_carries_prior,0.0022993817356291024,0.009157256568623477,0.012719563900666263,RB
season_to_date_rush_ypc,0.002176243377635374,0.013644156605005285,0.013930950938824955,RB
roll3_rush_ypc,0.0020821931988295904,0.016812406454527803,0.01635372501514234,RB
def_redzone_rush_td_rate_roll4,0.0020579425072998416,0.0095972822152392,0.015748031496062992,RB
opportunity_per_snap,0.0016721525779946264,0.009903247833674881,0.015142337976983646,RB
expected_team_plays,0.0016711716910912777,0.013774529103820852,0.013930950938824955,RB
roll3_target_share,0.0016193593241741004,0.0062661546011496235,0.007874015748031496,RB
def_qb_hit_rate_roll4,0.0016084049713057282,0.018465830446323658,0.015142337976983646,RB
wr_volume_matchup,0.0014391511932060354,0.01898512906104854,0.013930950938824955,RB
underdog_target_interaction,0.0014039683105266064,0.005040103611835357,0.009691096305269533,RB
team_spread_line,0.0013161802023586773,0.004372716186204913,0.010902483343428226,RB
prior_yards_per_carry,0.0012673005695483827,0.004086701871543272,0.010902483343428226,RB
season_to_date_rush_td_rate,0.0012488720616255797,0.004593488862119214,0.008479709267110842,RB
roll3_fppg_sd,0.0011967045300812426,0.015718321840024262,0.012113870381586917,RB
season_targets_prior,0.001160420833281169,0.00872008315466536,0.009085402786190187,RB
def_rush_epa_allowed_roll4,0.0011085153178901153,0.002497285354877173,0.007874015748031496,RB
season_week,0.0010854783267355977,0.012561976241892793,0.009085402786190187,RB
roll3_ngs_rush_yoe_pa,0.0010835500263581739,0.01823791541057245,0.01150817686250757,RB
opp_pos_fppg_allowed_roll4,0.0010773632132233771,0.0022134465042760315,0.006662628709872804,RB
roll5_targets,0.0010429679949624528,0.007752107969808787,0.0060569351907934586,RB
